state,car_sales_tax
New York,4.00
Illinois,7.25
Connecticut,6.35
Nevada,8.25
Arizona,5.60
Michigan,6.00
Alaska,0.00
Ohio,5.75
North Carolina,3.00
West Virginia,6.00
Florida,6.00
Kansas,7.50
Kentucky,6.00
Louisiana,4.45
California,7.25
Idaho,6.00
New Hampshire,0.00
Oklahoma,3.25
Minnesota,6.50
Pennsylvania,6.00
Georgia,6.60
New Jersey,6.63
South Dakota,4.00
Montana,0.00
Wisconsin,5.00
Massachusetts,6.25
Colorado,2.90
Nebraska,5.50
Iowa,5.00
Delaware,0.00
North Dakota,5.00
Alabama,2.00
Wyoming,6.00
Indiana,7.00
Arkansas,6.50
New Mexico,4.00
Oregon,0.00
South Carolina,5.00
Missouri,4.23
Virginia,4.15
Hawaii,4.00
Rhode Island,7.00
Maine,5.50
Mississippi,5.00
Utah,6.85
Washington,6.50
Texas,6.25
Vermont,6.00
Tennessee,7.00
Maryland,6.00
