Rank,state,avg_home_sq_feet,median_home_price_per_square_foot
1,Utah,2800,259.05
2,Colorado,2464,279.55
3,Idaho,2311,286.85
4,Wyoming,2285,189.87
5,Delaware,2277,223.75
6,Georgia,2262,180.61
7,Maryland,2207,234.53
8,Montana,2200,324.53
9,North Dakota,2190,139.12
10,Washington,2185,335.73
11,Texas,2170,194.87
12,Connecticut,2158,238.21
13,Tennessee,2157,213.79
14,North Carolina,2152,213.62
15,Alabama,2146,155.82
16,South Carolina,2123,181.72
17,Virginia,2105,209.76
18,New Mexico,2087,182.27
19,Mississippi,2065,130.46
20,Nevada,2060,281.85
21,Arizona,2049,269.26
22,Pennsylvania,2045,180.82
23,Minnesota,2026,197.46
24,Kansas,2020,135.92
25,Nebraska,2016,169.26
26,Indiana,2011,153.55
27,Vermont,2000,232.92
28,Florida,1960,265.08
29,Louisiana,1955,149.65
30,Kentucky,1953,155.86
31,Oregon,1946,307.86
32,Oklahoma,1941,167.50
33,New Hampshire,1934,267.29
34,South Dakota,1915,181.86
35,Rhode Island,1913,270.42
36,Alaska,1910,227.69
37,California,1860,442.70
38,Arkansas,1860,134.74
39,Missouri,1848,162.46
40,Wisconsin,1822,185.48
41,Ohio,1803,146.77
42,Massachusetts,1800,398.77
43,New Jersey,1753,266.77
44,West Virginia,1752,119.56
45,Michigan,1726,178.57
46,Illinois,1700,181.70
47,Maine,1680,231.96
48,Iowa,1623,187.99
49,New York,1490,421.49
50,Hawaii,1164,743.86
