property_tax_rank,state,property_tax,annual_taxes_on_244.9K_home,state_median_home_value,annual_property_tax_median_value
1,Hawaii,0.29,700,662100,1893
2,Alabama,0.41,1007,157100,646
3,Colorado,0.51,1243,397500,2017
4,Nevada,0.55,1346,315900,1736
5,Louisiana,0.56,1384,174000,983
5,South Carolina,0.56,1379,181800,1024
8,Delaware,0.58,1426,269700,1570
8,Utah,0.58,1418,339700,1967
10,West Virginia,0.59,1437,128800,756
11,Wyoming,0.61,1484,237900,1442
12,Arkansas,0.62,1513,142100,878
12,Arizona,0.62,1520,265600,1648
14,Idaho,0.63,1546,266500,1682
15,Tennessee,0.66,1606,193700,1270
16,California,0.75,1828,573200,4279
17,Mississippi,0.79,1937,133000,1052
18,New Mexico,0.80,1948,184800,1470
18,North Carolina,0.80,1963,197500,1583
20,Virginia,0.82,2006,295500,2420
21,Montana,0.83,2033,263700,2189
21,Indiana,0.83,2021,158500,1308
23,Kentucky,0.85,2084,155100,1320
24,Florida,0.86,2110,248700,2143
25,Oklahoma,0.90,2194,150800,1351
25,Georgia,0.90,2192,206700,1850
27,Oregon,0.93,2266,362200,3352
28,Washington,0.94,2311,397600,3752
29,Missouri,0.98,2389,171800,1676
30,North Dakota,1.00,2441,209900,2092
31,Maryland,1.07,2628,338500,3633
32,Minnesota,1.11,2708,250200,2767
33,Massachusetts,1.20,2936,424700,5091
34,Alaska,1.22,3000,282800,3464
35,South Dakota,1.24,3040,187800,2331
36,Maine,1.28,3143,212100,2722
37,Kansas,1.43,3500,164800,2355
38,Michigan,1.48,3630,172100,2551
39,Ohio,1.53,3748,159900,2447
39,Pennsylvania,1.53,3751,197300,3022
39,Rhode Island,1.53,3752,292600,4483
42,Iowa,1.57,3843,160700,2522
43,Nebraska,1.67,4102,174100,2916
44,New York,1.73,4231,340600,5884
44,Wisconsin,1.73,4243,200400,3472
46,Texas,1.74,4255,202600,3520
47,Vermont,1.90,4652,240600,4570
48,New Hampshire,2.09,5120,288700,6036
49,Connecticut,2.15,5256,286700,6153
50,Illinois,2.23,5465,212600,4744
51,New Jersey,2.47,6057,355700,8797
