state,State_Tax_Rate,Rank,avg_sales_tax,Combined_Rate,Rank_duplicated_0,Max_Local_Tax_Rate
Alabama,4.00,40,5.237,9.237,5,7.50
Alaska,0.00,46,1.813,1.813,46,7.50
Arizona,5.60,28,2.771,8.371,11,5.30
Arkansas,6.50,9,2.943,9.443,3,6.13
California,7.25,1,1.601,8.851,7,4.75
Colorado,2.90,45,4.891,7.791,15,8.30
Connecticut,6.35,12,0.000,6.350,33,0.00
Delaware,0.00,46,0.000,0.000,47,0.00
Florida,6.00,17,1.019,7.019,24,2.00
Georgia,4.00,40,3.394,7.394,19,5.00
Hawaii,4.00,40,0.443,4.443,45,0.50
Idaho,6.00,17,0.021,6.021,37,3.00
Illinois,6.25,13,2.588,8.838,8,4.75
Indiana,7.00,2,0.000,7.000,25,0.00
Iowa,6.00,17,0.934,6.934,29,1.00
Kansas,6.50,9,2.250,8.750,9,4.25
Kentucky,6.00,17,0.000,6.000,38,0.00
Louisiana,4.45,37,5.097,9.547,2,7.00
Maine,5.50,29,0.000,5.500,42,0.00
Maryland,6.00,17,0.000,6.000,38,0.00
Massachusetts,6.25,13,0.000,6.250,35,0.00
Michigan,6.00,17,0.000,6.000,38,0.00
Minnesota,6.88,6,0.648,7.523,17,2.00
Mississippi,7.00,2,0.062,7.062,22,1.00
Missouri,4.23,38,4.137,8.362,12,5.88
Montana,0.00,46,0.000,0.000,47,0.00
Nebraska,5.50,29,1.471,6.971,28,2.00
Nevada,6.85,7,1.386,8.236,13,1.53
New Hampshire,0.00,46,0.000,0.000,47,0.00
New Jersey,6.63,8,-0.024,6.601,30,3.31
New Mexico,4.88,34,2.726,7.601,16,4.06
New York,4.00,40,4.532,8.532,10,4.88
North Carolina,4.75,35,2.246,6.996,27,2.75
North Dakota,5.00,32,2.038,7.038,23,3.50
Ohio,5.75,27,1.488,7.238,20,2.25
Oklahoma,4.50,36,4.486,8.986,6,7.00
Oregon,0.00,46,0.000,0.000,47,0.00
Pennsylvania,6.00,17,0.341,6.341,34,2.00
Rhode Island,7.00,2,0.000,7.000,25,0.00
South Carolina,6.00,17,1.499,7.499,18,3.00
South Dakota,4.20,39,1.908,6.108,36,4.50
Tennessee,7.00,2,2.548,9.548,1,2.75
Texas,6.25,13,1.948,8.198,14,2.00
Utah,6.10,16,1.098,7.198,21,4.20
Vermont,6.00,17,0.359,6.359,32,1.00
Virginia,5.30,31,0.467,5.767,41,2.70
Washington,6.50,9,2.897,9.397,4,4.10
West Virginia,6.00,17,0.566,6.566,31,1.00
Wisconsin,5.00,32,0.429,5.429,44,1.75
Wyoming,4.00,40,1.441,5.441,43,2.00
